Event,GPS,GPS_valtype,UTC,UTC_valtype,rho,rho_valtype,FAR,FAR_valtype,M1,M1_valtype,M1_errp,M1_errm,M2,M2_valtype,M2_errp,M2_errm,Mchirp,Mchirp_valtype,Mchirp_errp,Mchirp_errm,Mtotal,Mtotal_valtype,Mtotal_errp,Mtotal_errm,chi,chi_valtype,chi_errp,chi_errm,Mfinal,Mfinal_valtype,Mfinal_errp,Mfinal_errm,Mratio,Mratio_valtype,Mratio_errp,Mratio_errm,af,af_valtype,af_errp,af_errm,Erad,Erad_valtype,Erad_errp,Erad_errm,lpeak,lpeak_valtype,lpeak_errp,lpeak_errm,DL,DL_valtype,DL_errp,DL_errm,z,z_valtype,z_errp,z_errm,deltaOmega,deltaOmega_valtype,obsrun,obsrun_valtype,net,net_valtype,detType,detType_valtype
151008,1128348574.5,value,2015-10-08T14:09:53.500,value,8.8,value,10.2,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O1,value,HL,value,Candidate,value
151012.2,1128666662.2,value,2015-10-12T06:31:21.200,value,9.6,value,8.56,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O1,value,HL,value,Candidate,value
151116,1131748925.7,value,2015-11-16T22:42:24.700,value,9.0,value,4.77,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O1,value,HL,value,Candidate,value
161202,1164686041.9,value,2016-12-02T03:54:20.900,value,10.5,value,6.0,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
161217,1165994201.4,value,2016-12-17T07:17:00.400,value,10.7,value,10.1,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
170208,1170585583.8,value,2017-02-08T10:40:02.800,value,10.0,value,11.2,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
170219,1171548267.0,value,2017-02-19T14:04:46.000,value,9.6,value,6.26,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
170405,1175425510.7,value,2017-04-05T11:05:29.700,value,9.3,value,4.55,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
170412,1176047817.0,value,2017-04-12T15:57:16.000,value,9.7,value,8.22,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
170423,1176984663.0,value,2017-04-23T12:11:22.000,value,8.9,value,6.47,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
170616,1181677658.8,value,2017-06-16T19:47:57.800,value,9.1,value,1.94,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
170630,1182874645.8,value,2017-06-30T16:17:44.800,value,9.7,value,10.5,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
170705,1183279534.3,value,2017-07-05T08:45:53.300,value,9.3,value,11.0,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
170720,1184625889.8,value,2017-07-20T22:45:08.800,value,13.0,value,10.8,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Candidate,value
200121_031748,1263611886.9,value,2020-01-21T03:18:25.900,value,10.69,value,1.1,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O3b,value,HV,value,Candidate,value
200214_224526,1265755544.5,value,2020-02-14T22:46:03.500,value,13.13,value,0.131,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O3b,value,HL,value,Candidate,value
200219_201407,1266178465.9,value,2020-02-19T20:14:44.900,value,13.59,value,0.22,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O3b,value,HLV,value,Candidate,value
GW150914,1126259462.4,value,2015-09-14T09:51:21.400,value,24.4,value,1e-07,value,35.6,bestfit,4.7,-3.1,30.6,bestfit,3.0,-4.4,28.6,bestfit,1.7,-1.5,,,,,-0.01,bestfit,0.12,-0.13,63.1,bestfit,3.4,-3.0,,,,,0.69,bestfit,0.05,-0.04,3.1,bestfit,0.4,-0.4,3.6,bestfit,0.4,-0.4,436.0,bestfit,98.0,-98.0,0.09,bestfit,0.03,-0.03,182.0,value,O1,value,HL,value,GW,value
GW151012,1128678900.4,value,2015-10-12T09:55:19.400,value,10.0,value,0.00792,value,23.2,bestfit,14.9,-5.5,13.6,bestfit,4.1,-4.8,15.2,bestfit,2.1,-1.2,,,,,0.05,bestfit,0.31,-0.2,35.6,bestfit,10.8,-3.8,,,,,0.67,bestfit,0.13,-0.11,1.6,bestfit,0.6,-0.5,3.2,bestfit,0.8,-1.7,1070.0,bestfit,320.0,-320.0,0.21,bestfit,0.09,-0.09,1520.0,value,O1,value,HL,value,GW,value
GW151226,1135136350.6,value,2015-12-26T03:39:29.600,value,13.1,value,1e-07,value,13.7,bestfit,8.8,-3.2,7.7,bestfit,2.2,-2.5,8.9,bestfit,0.3,-0.3,,,,,0.18,bestfit,0.2,-0.12,20.5,bestfit,6.4,-1.5,,,,,0.74,bestfit,0.07,-0.05,1.0,bestfit,0.1,-0.2,3.4,bestfit,0.7,-1.7,445.0,bestfit,114.0,-114.0,0.09,bestfit,0.04,-0.04,1030.0,value,O1,value,HL,value,GW,value
GW170104,1167559936.6,value,2017-01-04T10:12:35.600,value,13.0,value,1e-07,value,30.8,bestfit,7.3,-5.6,20.0,bestfit,4.9,-4.6,21.4,bestfit,2.2,-1.8,,,,,-0.04,bestfit,0.17,-0.21,48.9,bestfit,5.1,-4.0,,,,,0.66,bestfit,0.08,-0.11,2.2,bestfit,0.5,-0.5,3.3,bestfit,0.6,-1.0,989.0,bestfit,268.0,-268.0,0.2,bestfit,0.08,-0.08,921.0,value,O2,value,HL,value,GW,value
GW170608,1180922494.5,value,2017-06-08T02:01:53.500,value,14.9,value,1e-07,value,11.0,bestfit,5.5,-1.7,7.6,bestfit,1.4,-2.2,7.9,bestfit,0.2,-0.2,,,,,0.03,bestfit,0.19,-0.07,17.8,bestfit,3.4,-0.7,,,,,0.69,bestfit,0.04,-0.04,0.9,value,,,3.5,bestfit,0.4,-1.3,325.0,bestfit,71.0,-71.0,0.07,bestfit,0.02,-0.02,392.0,value,O2,value,HL,value,GW,value
GW170729,1185389807.3,value,2017-07-29T18:57:06.300,value,10.2,value,0.02,value,50.2,bestfit,16.2,-10.2,34.0,bestfit,9.1,-10.1,35.4,bestfit,6.5,-4.8,,,,,0.37,bestfit,0.21,-0.25,79.5,bestfit,14.7,-10.2,,,,,0.81,bestfit,0.07,-0.13,4.8,bestfit,1.7,-1.7,4.2,bestfit,0.9,-1.5,2860.0,bestfit,840.0,-840.0,0.49,bestfit,0.19,-0.21,1040.0,value,O2,value,HLV,value,GW,value
GW170809,1186302519.8,value,2017-08-09T08:28:58.800,value,12.4,value,1e-07,value,35.0,bestfit,8.3,-5.9,23.8,bestfit,5.1,-5.2,24.9,bestfit,2.1,-1.7,,,,,0.08,bestfit,0.17,-0.17,56.3,bestfit,5.2,-3.8,,,,,0.7,bestfit,0.08,-0.09,2.7,bestfit,0.6,-0.6,3.5,bestfit,0.6,-0.9,1010.0,bestfit,210.0,-210.0,0.2,bestfit,0.05,-0.07,308.0,value,O2,value,HLV,value,GW,value
GW170814,1186741861.5,value,2017-08-14T10:31:20.500,value,15.9,value,1e-07,value,30.6,bestfit,5.6,-3.0,25.2,bestfit,2.8,-4.0,24.1,bestfit,1.4,-1.1,,,,,0.07,bestfit,0.12,-0.12,53.2,bestfit,3.2,-2.4,,,,,0.72,bestfit,0.07,-0.05,2.7,bestfit,0.4,-0.3,3.7,bestfit,0.4,-0.5,586.0,bestfit,113.0,-113.0,0.12,bestfit,0.03,-0.04,87.0,value,O2,value,HLV,value,GW,value
GW170817,1187008882.4,value,2017-08-17T12:41:41.400,value,33.0,value,1e-07,value,1.46,bestfit,0.12,-0.1,1.27,bestfit,0.09,-0.09,1.186,bestfit,0.001,-0.001,,,,,0.0,bestfit,-0.0,-0.0,2.8,value,,,,,,,0.89,value,,,0.04,value,,,0.1,value,,,38.0,bestfit,7.5,-7.5,0.01,value,,,16.0,value,O2,value,HLV,value,GW,value
GW170818,1187058327.1,value,2017-08-18T02:25:46.100,value,11.3,value,4.2e-05,value,35.4,bestfit,7.5,-4.7,26.7,bestfit,4.3,-5.2,26.5,bestfit,2.1,-1.7,,,,,-0.09,bestfit,0.18,-0.21,59.4,bestfit,4.9,-3.8,,,,,0.67,bestfit,0.07,-0.08,2.7,bestfit,0.5,-0.5,3.4,bestfit,0.5,-0.7,1070.0,bestfit,250.0,-250.0,0.21,bestfit,0.07,-0.07,39.0,value,O2,value,HLV,value,GW,value
GW170823,1187529256.5,value,2017-08-23T13:14:35.500,value,11.5,value,1e-07,value,39.5,bestfit,11.2,-6.7,29.0,bestfit,6.7,-7.8,29.2,bestfit,4.6,-3.6,,,,,0.09,bestfit,0.22,-0.26,65.4,bestfit,10.1,-7.4,,,,,0.72,bestfit,0.09,-0.12,3.3,bestfit,1.0,-0.9,3.6,bestfit,0.7,-1.1,1930.0,bestfit,530.0,-530.0,0.35,bestfit,0.15,-0.15,1670.0,value,O2,value,HL,value,GW,value
GW190403_051519,1238303737.2,value,2019-04-03T05:15:56.200,value,7.956,value,7.7,value,88.0,bestfit,28.2,-32.9,22.1,bestfit,23.8,-9.0,36.3,bestfit,14.4,-8.8,110.5,bestfit,30.6,-24.2,0.7,bestfit,0.15,-0.27,105.2,bestfit,29.1,-24.1,0.2471,bestfit,0.5391,-0.1154,0.92,bestfit,0.04,-0.11,5.28,bestfit,3.63,-2.78,2.65,bestfit,2.64,-1.62,8000.0,bestfit,5880.0,-3990.0,1.14,bestfit,0.64,-0.49,5590.0,value,O3a,value,HL,value,GW,value
GW190408_181802,1238782700.3,value,2019-04-08T18:18:39.300,value,14.67,value,1e-05,value,24.6,bestfit,5.1,-3.4,18.4,bestfit,3.3,-3.6,18.3,bestfit,1.9,-1.2,43.0,bestfit,4.2,-3.0,-0.03,bestfit,0.14,-0.19,41.1,bestfit,3.9,-2.8,0.7549,bestfit,0.2124,-0.2426,0.672,bestfit,0.06,-0.076,1.93,bestfit,0.35,-0.34,3.44,bestfit,0.36,-0.64,1550.0,bestfit,400.0,-600.0,0.29,bestfit,0.06,-0.1,139.0,value,O3a,value,HLV,value,GW,value
GW190412,1239082262.2,value,2019-04-12T05:31:21.200,value,18.86,value,1e-05,value,30.1,bestfit,4.7,-5.1,8.3,bestfit,1.6,-0.9,13.3,bestfit,0.4,-0.3,38.4,bestfit,3.8,-3.7,0.25,bestfit,0.08,-0.11,37.3,bestfit,3.9,-3.8,0.2769,bestfit,0.1179,-0.0628,0.674,bestfit,0.053,-0.058,1.12,bestfit,0.17,-0.1,1.83,bestfit,0.65,-0.43,740.0,bestfit,140.0,-170.0,0.15,bestfit,0.03,-0.03,21.0,value,O3a,value,HLV,value,GW,value
GW190413_052954,1239168612.5,value,2019-04-13T05:30:31.500,value,8.555,value,0.0717,value,34.7,bestfit,12.6,-8.1,23.7,bestfit,7.3,-6.7,24.6,bestfit,5.5,-4.1,58.6,bestfit,13.3,-9.7,-0.01,bestfit,0.29,-0.34,56.0,bestfit,12.5,-9.2,0.7088,bestfit,0.256,-0.2895,0.687,bestfit,0.121,-0.127,2.56,bestfit,1.03,-0.75,3.43,bestfit,0.72,-1.03,3550.0,bestfit,2270.0,-1660.0,0.59,bestfit,0.29,-0.24,1380.0,value,O3a,value,HLV,value,GW,value
GW190413_134308,1239198206.7,value,2019-04-13T13:43:45.700,value,9.031,value,0.0437,value,47.5,bestfit,13.5,-10.7,31.8,bestfit,11.7,-10.8,33.0,bestfit,8.2,-5.4,78.8,bestfit,17.4,-11.9,-0.03,bestfit,0.25,-0.29,75.5,bestfit,16.4,-11.4,0.6994,bestfit,0.2656,-0.3086,0.693,bestfit,0.097,-0.118,3.35,bestfit,1.03,-0.97,3.37,bestfit,0.63,-1.14,4450.0,bestfit,2480.0,-2120.0,0.71,bestfit,0.31,-0.3,516.0,value,O3a,value,HLV,value,GW,value
GW190421_213856,1239917954.3,value,2019-04-21T21:39:33.300,value,10.55,value,0.000774,value,41.3,bestfit,10.4,-6.9,31.9,bestfit,8.0,-8.8,31.2,bestfit,5.9,-4.2,72.9,bestfit,13.4,-9.2,-0.06,bestfit,0.22,-0.27,69.7,bestfit,12.5,-8.7,0.7925,bestfit,0.1821,-0.3007,0.68,bestfit,0.1,-0.11,3.24,bestfit,0.95,-0.82,3.47,bestfit,0.48,-0.86,2880.0,bestfit,1370.0,-1380.0,0.49,bestfit,0.19,-0.21,1020.0,value,O3a,value,HL,value,GW,value
GW190424_180648,1240164426.1,value,2019-04-24T18:07:25.100,value,10.09,value,9.04,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25900.0,value,O3a,value,LV,value,Marginal,value
GW190425,1240215503.0,value,2019-04-25T08:18:42.000,value,13.03,value,0.000752,value,2.0,bestfit,0.6,-0.3,1.4,bestfit,0.3,-0.3,1.44,bestfit,0.02,-0.02,3.4,bestfit,0.3,-0.1,0.06,bestfit,0.11,-0.05,,,,,0.6679,bestfit,0.2915,-0.2479,,,,,,,,,,,,,160.0,bestfit,70.0,-70.0,0.03,bestfit,0.01,-0.02,9880.0,value,O3a,value,LV,value,GW,value
GW190426_152155,1240327333.3,value,2019-04-26T15:22:32.300,value,10.12,value,0.91,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393.0,value,O3a,value,HLV,value,Marginal,value
GW190426_190642,1240340820.6,value,2019-04-26T19:07:19.600,value,9.572,value,4.1,value,106.9,bestfit,41.6,-25.2,76.6,bestfit,26.2,-33.6,77.1,bestfit,19.4,-17.1,184.4,bestfit,41.7,-36.6,0.19,bestfit,0.43,-0.4,175.0,bestfit,39.4,-34.3,0.7525,bestfit,0.2223,-0.4411,0.76,bestfit,0.15,-0.15,9.24,bestfit,4.63,-3.49,3.76,bestfit,1.12,-1.53,4350.0,bestfit,3350.0,-2150.0,0.7,bestfit,0.41,-0.3,8220.0,value,O3a,value,HL,value,GW,value
GW190503_185404,1240944862.3,value,2019-05-03T18:54:41.300,value,12.1,value,1e-05,value,43.3,bestfit,9.2,-8.1,28.4,bestfit,7.7,-8.0,30.2,bestfit,4.2,-4.2,71.7,bestfit,9.4,-8.3,-0.03,bestfit,0.2,-0.26,68.6,bestfit,8.8,-7.7,0.6621,bestfit,0.2864,-0.2382,0.665,bestfit,0.09,-0.123,3.11,bestfit,0.88,-0.95,3.3,bestfit,0.61,-1.0,1450.0,bestfit,690.0,-630.0,0.27,bestfit,0.11,-0.11,94.0,value,O3a,value,HLV,value,GW,value
GW190512_180714,1241719652.4,value,2019-05-12T18:07:51.400,value,12.26,value,1e-05,value,23.3,bestfit,5.3,-5.8,12.6,bestfit,3.6,-2.5,14.6,bestfit,1.3,-1.0,35.9,bestfit,3.8,-3.5,0.03,bestfit,0.12,-0.13,34.5,bestfit,3.8,-3.5,0.5416,bestfit,0.3695,-0.1802,0.649,bestfit,0.068,-0.068,1.45,bestfit,0.27,-0.25,3.01,bestfit,0.69,-0.83,1430.0,bestfit,550.0,-550.0,0.27,bestfit,0.09,-0.1,226.0,value,O3a,value,HLV,value,GW,value
GW190513_205428,1241816086.8,value,2019-05-13T20:55:05.800,value,12.29,value,1e-05,value,35.7,bestfit,9.5,-9.2,18.0,bestfit,7.7,-4.1,21.6,bestfit,3.8,-1.9,53.9,bestfit,8.6,-5.9,0.11,bestfit,0.28,-0.17,51.6,bestfit,8.2,-5.8,0.5138,bestfit,0.4054,-0.1859,0.69,bestfit,0.14,-0.119,2.25,bestfit,1.11,-0.59,3.11,bestfit,1.15,-1.12,2060.0,bestfit,880.0,-800.0,0.37,bestfit,0.13,-0.13,490.0,value,O3a,value,HLV,value,GW,value
GW190514_065416,1241852074.8,value,2019-05-14T06:54:53.800,value,8.304,value,0.527,value,39.0,bestfit,14.7,-8.2,28.4,bestfit,9.3,-8.8,28.5,bestfit,7.9,-4.8,67.2,bestfit,18.7,-10.8,-0.19,bestfit,0.29,-0.32,64.5,bestfit,17.9,-10.4,0.7634,bestfit,0.2053,-0.319,0.639,bestfit,0.106,-0.14,2.7,bestfit,0.95,-0.77,3.25,bestfit,0.55,-0.99,4130.0,bestfit,2650.0,-2170.0,0.67,bestfit,0.33,-0.31,2400.0,value,O3a,value,HL,value,GW,value
GW190517_055101,1242107479.8,value,2019-05-17T05:51:38.800,value,10.24,value,5.72e-05,value,37.4,bestfit,11.7,-7.6,25.3,bestfit,7.0,-7.3,26.6,bestfit,4.0,-4.0,63.5,bestfit,9.6,-9.6,0.52,bestfit,0.19,-0.19,59.3,bestfit,9.1,-8.9,0.6897,bestfit,0.2696,-0.2888,0.868,bestfit,0.046,-0.066,4.04,bestfit,1.28,-1.21,4.72,bestfit,0.89,-1.57,1860.0,bestfit,1620.0,-840.0,0.34,bestfit,0.24,-0.14,462.0,value,O3a,value,HLV,value,GW,value
GW190519_153544,1242315362.4,value,2019-05-19T15:36:21.400,value,12.05,value,1e-05,value,66.0,bestfit,10.7,-12.0,40.5,bestfit,11.0,-11.1,44.5,bestfit,6.4,-7.1,106.6,bestfit,13.5,-14.8,0.31,bestfit,0.2,-0.22,101.0,bestfit,12.4,-13.8,0.6169,bestfit,0.2876,-0.1902,0.797,bestfit,0.07,-0.124,5.6,bestfit,1.69,-1.69,3.91,bestfit,0.82,-1.12,2530.0,bestfit,1830.0,-920.0,0.44,bestfit,0.25,-0.14,769.0,value,O3a,value,HLV,value,GW,value
GW190521,1242442967.4,value,2019-05-21T03:03:06.400,value,14.38,value,0.000204,value,95.3,bestfit,28.7,-18.9,69.0,bestfit,22.7,-23.1,69.2,bestfit,17.0,-10.6,163.9,bestfit,39.2,-23.5,0.03,bestfit,0.32,-0.39,156.3,bestfit,36.8,-22.4,0.7552,bestfit,0.2182,-0.3404,0.726,bestfit,0.113,-0.137,7.54,bestfit,2.66,-2.18,3.58,bestfit,0.72,-1.13,3920.0,bestfit,2190.0,-1950.0,0.64,bestfit,0.28,-0.28,936.0,value,O3a,value,HLV,value,GW,value
GW190521_074359,1242459857.5,value,2019-05-21T07:44:36.500,value,24.38,value,1e-05,value,42.2,bestfit,5.9,-4.8,32.8,bestfit,5.4,-6.4,32.1,bestfit,3.2,-2.5,74.7,bestfit,7.0,-4.8,0.09,bestfit,0.1,-0.13,71.0,bestfit,6.5,-4.4,0.7773,bestfit,0.1923,-0.2068,0.716,bestfit,0.046,-0.066,3.66,bestfit,0.56,-0.64,3.71,bestfit,0.29,-0.59,1240.0,bestfit,400.0,-570.0,0.24,bestfit,0.07,-0.1,501.0,value,O3a,value,HL,value,GW,value
GW190527_092055,1242984073.8,value,2019-05-27T09:21:32.800,value,8.867,value,0.0623,value,36.5,bestfit,16.4,-9.0,22.6,bestfit,10.5,-8.1,24.3,bestfit,9.1,-4.2,59.1,bestfit,21.3,-9.8,0.11,bestfit,0.28,-0.28,56.4,bestfit,20.2,-9.3,0.6496,bestfit,0.3053,-0.3246,0.727,bestfit,0.117,-0.162,2.72,bestfit,1.83,-1.03,3.52,bestfit,0.9,-1.58,2490.0,bestfit,2480.0,-1240.0,0.44,bestfit,0.34,-0.2,3800.0,value,O3a,value,HL,value,GW,value
GW190531_023648,1243305426.3,value,2019-05-31T02:37:25.300,value,9.951,value,0.41,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O3a,value,HLV,value,Marginal,value
GW190602_175927,1243533585.1,value,2019-06-02T18:00:04.100,value,12.13,value,1.15e-05,value,69.1,bestfit,15.7,-13.0,47.8,bestfit,14.3,-17.4,49.1,bestfit,9.1,-8.5,116.3,bestfit,19.0,-15.6,0.07,bestfit,0.25,-0.24,110.9,bestfit,17.7,-14.9,0.7178,bestfit,0.2475,-0.3225,0.715,bestfit,0.099,-0.13,5.43,bestfit,1.7,-1.8,3.6,bestfit,0.7,-1.28,2690.0,bestfit,1790.0,-1120.0,0.47,bestfit,0.25,-0.17,716.0,value,O3a,value,HLV,value,GW,value
GW190620_030421,1245035079.3,value,2019-06-20T03:04:58.300,value,10.92,value,0.00292,value,57.1,bestfit,16.0,-12.7,35.5,bestfit,12.2,-12.3,38.3,bestfit,8.3,-6.5,92.1,bestfit,18.5,-13.1,0.33,bestfit,0.22,-0.25,87.2,bestfit,16.8,-12.1,0.6341,bestfit,0.3173,-0.2704,0.799,bestfit,0.077,-0.138,4.9,bestfit,1.91,-1.8,3.99,bestfit,0.88,-1.57,2810.0,bestfit,1680.0,-1310.0,0.49,bestfit,0.23,-0.2,6680.0,value,O3a,value,LV,value,GW,value
GW190630_185205,1245955943.2,value,2019-06-30T18:52:42.200,value,15.64,value,1e-05,value,35.1,bestfit,6.9,-5.6,23.7,bestfit,5.2,-5.1,24.9,bestfit,2.1,-2.1,59.1,bestfit,4.6,-4.8,0.1,bestfit,0.12,-0.13,56.4,bestfit,4.4,-4.6,0.6754,bestfit,0.276,-0.2186,0.702,bestfit,0.055,-0.069,2.75,bestfit,0.47,-0.52,3.53,bestfit,0.44,-0.81,890.0,bestfit,560.0,-370.0,0.18,bestfit,0.1,-0.07,1280.0,value,O3a,value,LV,value,GW,value
GW190701_203306,1246048404.6,value,2019-07-01T20:33:43.600,value,11.59,value,0.0109,value,53.9,bestfit,11.8,-8.0,40.8,bestfit,8.7,-12.0,40.3,bestfit,5.4,-4.9,94.3,bestfit,12.1,-9.5,-0.07,bestfit,0.23,-0.29,90.2,bestfit,11.3,-8.9,0.7686,bestfit,0.205,-0.3019,0.666,bestfit,0.093,-0.123,4.16,bestfit,1.08,-1.12,3.41,bestfit,0.51,-0.94,2060.0,bestfit,760.0,-730.0,0.37,bestfit,0.11,-0.12,45.0,value,O3a,value,HLV,value,GW,value
GW190706_222641,1246487219.3,value,2019-07-06T22:27:18.300,value,12.35,value,1e-05,value,67.0,bestfit,14.6,-16.2,38.2,bestfit,14.6,-13.3,42.7,bestfit,10.0,-7.0,104.1,bestfit,20.2,-13.9,0.28,bestfit,0.26,-0.29,99.0,bestfit,18.3,-13.5,0.6076,bestfit,0.3257,-0.2511,0.796,bestfit,0.084,-0.172,5.44,bestfit,1.95,-2.04,3.9,bestfit,1.04,-1.59,4420.0,bestfit,2590.0,-1930.0,0.71,bestfit,0.32,-0.27,607.0,value,O3a,value,HLV,value,GW,value
GW190707_093326,1246527224.2,value,2019-07-07T09:34:03.200,value,12.8,value,1e-05,value,11.6,bestfit,3.3,-1.7,8.4,bestfit,1.4,-1.7,8.5,bestfit,0.6,-0.5,20.1,bestfit,1.9,-1.3,-0.05,bestfit,0.1,-0.08,19.2,bestfit,1.9,-1.3,0.7252,bestfit,0.235,-0.2663,0.66,bestfit,0.034,-0.037,0.877,bestfit,0.08,-0.088,3.39,bestfit,0.22,-0.73,770.0,bestfit,380.0,-370.0,0.16,bestfit,0.07,-0.07,1340.0,value,O3a,value,HL,value,GW,value
GW190708_232457,1246663515.4,value,2019-07-08T23:25:34.400,value,13.07,value,2.83e-05,value,17.6,bestfit,4.7,-2.3,13.2,bestfit,2.0,-2.7,13.2,bestfit,0.9,-0.6,30.9,bestfit,2.5,-1.8,0.02,bestfit,0.1,-0.08,29.5,bestfit,2.5,-1.8,0.7498,bestfit,0.21,-0.2786,0.686,bestfit,0.036,-0.037,1.42,bestfit,0.14,-0.16,3.55,bestfit,0.22,-0.73,880.0,bestfit,330.0,-390.0,0.18,bestfit,0.06,-0.07,13700.0,value,O3a,value,LV,value,GW,value
