Ref,citation,created,event,text,type,url
0,,,GW150914,GraceDB page,web-data,https://gracedb.ligo.org/events/view/G184098
1,,,GW150914,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW150914/
2,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW150914,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
3,,,GW150914,Skymap Viewer,web-data,https://losc.ligo.org/s/skymapViewer/aladin/index.html#GW150914:LALI
4,,,GW150914,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW150914_skymap.fits.gz
5,,2019-06-02T05:37:28.291,GW150914,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW150914_cartzoom.png
6,,2019-06-02T05:37:39.500,GW150914,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW150914_cart.png
7,,2019-06-02T05:37:16.567,GW150914,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW150914_moll.png
8,,2019-06-02T05:37:28.292,GW150914,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW150914_cartzoom.thumb.png
9,,2019-06-02T05:37:39.501,GW150914,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW150914_cart.thumb.png
10,,2019-06-02T05:37:16.568,GW150914,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW150914_moll.thumb.png
11,,2019-06-02T05:38:03.551,GW150914,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW150914_cart_rot.png
12,,2019-06-02T05:38:03.551,GW150914,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW150914_cart_rot.thumb.png
13,,2019-06-02T05:37:55.131,GW150914,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW150914_moll_rot.png
14,,2019-06-02T05:37:55.132,GW150914,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW150914_moll_rot.thumb.png
15,,2019-06-02T22:36:13.444,GW150914,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW150914_8192.png
16,,2018-12-07T18:27:48.395,GW150914,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW150914-tiles
17,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW151012,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
18,,,GW151012,Skymap Viewer,web-data,https://losc.ligo.org/s/skymapViewer/aladin/index.html#LVT151012:LAL1
19,,,GW151012,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW151012_skymap.fits.gz
20,,,GW151012,GraceDB page,web-data,https://gracedb.ligo.org/events/view/G192004
21,,,GW151012,GraceDB page,web-data,https://gracedb.ligo.org/events/view/G192005
22,,,GW151012,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/LVT151012/
23,,2019-06-02T05:38:14.370,GW151012,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_cartzoom.png
24,,2019-06-02T05:38:19.354,GW151012,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_cart.png
25,,2019-06-02T05:38:10.057,GW151012,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_moll.png
26,,2019-06-02T05:38:14.371,GW151012,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_cartzoom.thumb.png
27,,2019-06-02T05:38:19.354,GW151012,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_cart.thumb.png
28,,2019-06-02T05:38:10.057,GW151012,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_moll.thumb.png
29,,2019-06-02T05:38:30.841,GW151012,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_cart_rot.png
30,,2019-06-02T05:38:30.841,GW151012,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_cart_rot.thumb.png
31,,2019-06-02T05:38:25.678,GW151012,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_moll_rot.png
32,,2019-06-02T05:38:25.678,GW151012,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/GW151012_moll_rot.thumb.png
33,,2019-06-02T22:36:31.482,GW151012,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW151012_8192.png
34,,2018-11-08T18:36:07.470,GW151012,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/GW151012-tiles
35,LIGO Scientific Collaboration & Virgo Collaboration (2018) (submitted),,GW151226,O2 catalog paper,pub,https://dcc.ligo.org/LIGO-P1800307/public
36,,,GW151226,Open Data page,open-data,https://www.gw-openscience.org/catalog/GWTC-1-confident/single/GW151226/
37,,,GW151226,GraceDB page,web-data,https://gracedb.ligo.org/events/view/G211117
38,,,GW151226,GraceDB page,web-data,https://gracedb.ligo.org/events/view/G211182
39,,,GW151226,Final Skymap,skymap-fits,https://dcc.ligo.org/public/0157/P1800381/002/GW151226_skymap.fits.gz
40,,,GW151226,Skymap Viewer,web-data,https://losc.ligo.org/s/skymapViewer/aladin/index.html#GW151226:LALI2
41,,2019-06-02T05:38:41.370,GW151226,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_cartzoom.png
42,,2019-06-02T05:38:46.228,GW151226,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/GW151226_cart.png
