t strain*1e23
-0.41607 -6.6
-0.41583 -6.5
-0.41558 -6.5
-0.41534 -6.4
-0.4151 -6.3
-0.41485 -6.2
-0.41461 -6.0
-0.41436 -5.9
-0.41412 -5.8
-0.41388 -5.6
-0.41363 -5.5
-0.41339 -5.3
-0.41314 -5.2
-0.4129 -5.0
-0.41265 -4.8
-0.41241 -4.6
-0.41217 -4.4
-0.41192 -4.2
-0.41168 -4.0
-0.41143 -3.8
-0.41119 -3.6
-0.41095 -3.4
-0.4107 -3.1
-0.41046 -2.9
-0.41021 -2.6
-0.40997 -2.4
-0.40973 -2.2
-0.40948 -1.9
-0.40924 -1.6
-0.40899 -1.4
-0.40875 -1.1
-0.4085 -0.9
-0.40826 -0.6
-0.40802 -0.3
-0.40777 0.0
-0.40753 0.2
-0.40728 0.4
-0.40704 0.7
-0.4068 1.0
-0.40655 1.2
-0.40631 1.5
-0.40606 1.8
-0.40582 2.0
-0.40557 2.3
-0.40533 2.5
-0.40509 2.8
-0.40484 3.0
-0.4046 3.2
-0.40435 3.5
-0.40411 3.7
-0.40387 3.9
-0.40362 4.1
-0.40338 4.3
-0.40313 4.5
-0.40289 4.7
-0.40265 4.9
-0.4024 5.1
-0.40216 5.3
-0.40191 5.5
-0.40167 5.6
-0.40142 5.8
-0.40118 5.9
-0.40094 6.0
-0.40069 6.2
-0.40045 6.3
-0.4002 6.4
-0.39996 6.5
-0.39972 6.6
-0.39947 6.6
-0.39923 6.7
-0.39898 6.8
-0.39874 6.8
-0.39849 6.8
-0.39825 6.9
-0.39801 6.9
-0.39776 6.9
-0.39752 6.9
-0.39727 6.9
-0.39703 6.8
-0.39679 6.8
-0.39654 6.7
-0.3963 6.7
-0.39605 6.6
-0.39581 6.5
-0.39557 6.4
-0.39532 6.3
-0.39508 6.2
-0.39483 6.1
-0.39459 6.0
-0.39434 5.9
-0.3941 5.7
-0.39386 5.6
-0.39361 5.4
-0.39337 5.2
-0.39312 5.0
-0.39288 4.9
-0.39264 4.7
-0.39239 4.5
-0.39215 4.3
-0.3919 4.0
-0.39166 3.8
-0.39141 3.6
-0.39117 3.4
-0.39093 3.1
-0.39068 2.9
-0.39044 2.6
-0.39019 2.4
-0.38995 2.1
-0.38971 1.9
-0.38946 1.6
-0.38922 1.3
-0.38897 1.1
-0.38873 0.8
-0.38848 0.5
-0.38824 0.3
-0.388 0.0
-0.38775 -0.3
-0.38751 -0.6
-0.38726 -0.8
-0.38702 -1.1
-0.38678 -1.4
-0.38653 -1.6
-0.38629 -1.9
-0.38604 -2.2
-0.3858 -2.4
-0.38556 -2.7
-0.38531 -2.9
-0.38507 -3.2
-0.38482 -3.4
-0.38458 -3.6
